experiment,model,dataset,num_samples,total_seconds,fps,emissions_kg,PQ,SQ,RQ
mask2former_r50_8xb2-lsj-50e_coco-panoptic_n5,mask2former_r50_8xb2-lsj-50e_coco-panoptic.py,coco_val2017_subset,5,20.932,0.239,2.837824115005785e-06,43.735721477736824,53.82395993438003,51.76719114219114
mask2former_r50_8xb2-lsj-50e_coco-panoptic_n5,mask2former_r50_8xb2-lsj-50e_coco-panoptic.py,coco_val2017_subset,5,21.581,0.232,3.2208450908648588e-06,43.735721477736824,53.82395993438003,51.76719114219114
maskformer_r50_ms-16xb1-75e_coco_n5,maskformer_r50_ms-16xb1-75e_coco.py,coco_val2017_subset,5,6.635,0.754,6.526238653881358e-07,42.115167411438385,53.53015954112927,51.512809237586175
maskformer_r50_ms-16xb1-75e_coco_n50,maskformer_r50_ms-16xb1-75e_coco.py,coco_val2017_subset,50,23.521,2.126,4.681187868390272e-06,44.83863804028004,60.196886027804744,54.89193251887083
maskformer_swin-l-p4-w12_64xb1-ms-300e_coco_n5,maskformer_swin-l-p4-w12_64xb1-ms-300e_coco.py,coco_val2017_subset,5,10.817,0.462,1.0639197744326588e-06,43.874144,54.961212243983546,54.49242108190796
maskformer_swin-l-p4-w12_64xb1-ms-300e_coco_n50,maskformer_swin-l-p4-w12_64xb1-ms-300e_coco.py,coco_val2017_subset,50,68.852,0.726,1.7893704548811016e-05,49.01217017843077,65.56420310610869,59.28401898508279
maskformer_swin-l-p4-w12_64xb1-ms-300e_coco_n5,maskformer_swin-l-p4-w12_64xb1-ms-300e_coco.py,coco_val2017_subset,5,11.222,0.446,1.2481831933390837e-06,43.874144,54.961212243983546,54.49242108190796
maskformer_swin-l-p4-w12_64xb1-ms-300e_coco_n5,maskformer_swin-l-p4-w12_64xb1-ms-300e_coco.py,coco_val2017_subset,5,9.497,0.527,9.79286897073902e-07,43.874144,54.961212243983546,54.49242108190796
maskformer_swin-l-p4-w12_64xb1-ms-300e_coco_n5,maskformer_swin-l-p4-w12_64xb1-ms-300e_coco.py,CocoPanopticDataset,5,8.268,0.605,8.783399574871197e-07,43.874144,54.961212243983546,54.49242108190796
maskformer_swin-l-p4-w12_64xb1-ms-300e_coco_n50,maskformer_swin-l-p4-w12_64xb1-ms-300e_coco.py,valid_baseline,50,73.871,0.677,1.7698967637709006e-05,49.01217017843077,65.56420310610869,59.28401898508279
maskformer_swin-l-p4-w12_64xb1-ms-300e_valid_n5,maskformer_swin-l-p4-w12_64xb1-ms-300e_valid.py,valid_baseline,5,6.2,0.807,6.122223691976844e-07,0,0,0
maskformer_swin-l-p4-w12_64xb1-ms-300e_valid_n5,maskformer_swin-l-p4-w12_64xb1-ms-300e_valid.py,valid_baseline,5,6.241,0.801,6.31000721516224e-07,0,0,0
maskformer_swin-l-p4-w12_64xb1-ms-300e_valid_n50,maskformer_swin-l-p4-w12_64xb1-ms-300e_valid.py,valid_baseline,50,41.256,1.212,1.0122003194455568e-05,0,0,0
maskformer_swin-l-p4-w12_64xb1-ms-300e_coco_n5,maskformer_swin-l-p4-w12_64xb1-ms-300e_coco.py,CocoPanopticDataset,5,8.388,0.596,8.375372427887411e-07,43.874144,54.961212243983546,54.49242108190796
maskformer_swin-l-p4-w12_64xb1-ms-300e_coco_n0,maskformer_swin-l-p4-w12_64xb1-ms-300e_coco.py,CocoPanopticDataset,5000,17054.675,0.293,0.002818801,53.24604478496238,81.70970964911011,64.22269380777178
maskformer_swin-l-p4-w12_64xb1-ms-300e_valid_n0,maskformer_swin-l-p4-w12_64xb1-ms-300e_valid.py,valid_baseline,288,217.576,1.324,6.060105517996674e-05,0.0,0.0,0.0
